Abbreviation,Reaction,LB (growth with native substrates),UB (growth with native substrates),LB (growth with methane),UB (growth with methane),Notes
ADSL1,dcamp[c] <==> amp[c] + fum[c],0.0,1000,0.0,1000,
ADSS,asp-L[c] + gtp[c] + imp[c] <==> dcamp[c] + gdp[c] + (2) h[c] + pi[c],0.0,1000,0.0,1000,
ALATA_L,akg[c] + ala-L[c] <==> glu-L[c] + pyr[c],-1000.0,1000,-1000.0,1000,
ALATRS,ala-L[c] + atp[c] + trnaala[c] <==> amp[c] + ppi[c] + alatrna[c],0.0,1000,0.0,1000,
APAT2,akg[c] + ala-B[c] <==> glu-L[c] + msa[c],0.0,1000,0.0,1000,
ARGSL,argsuc[c] <==> arg-L[c] + fum[c],-1000.0,1000,-1000.0,1000,
ARGSS,asp-L[c] + atp[c] + citr-L[c] <==> amp[c] + argsuc[c] + h[c] + ppi[c],0.0,1000,0.0,1000,
ASADi,4pasp[c] + h[c] + nadph[c] <==> aspsa[c] + nadp[c] + pi[c],0.0,1000,0.0,1000,
ASNN,asn-L[c] + h2o[c] <==> asp-L[c] + nh4[c],0.0,1000,0.0,1000,
ASNS1,asp-L[c] + atp[c] + gln-L[c] + h2o[c] <==> amp[c] + asn-L[c] + glu-L[c] + h[c] + ppi[c],0.0,1000,0.0,1000,
ASP1DC,asp-L[c] + h[c] <==> ala-B[c] + co2[c],0.0,1000,0.0,1000,
ASPCT,asp-L[c] + cbp[c] <==> cbasp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
ASPKi,asp-L[c] + atp[c] <==> 4pasp[c] + adp[c],0.0,1000,0.0,1000,
ASPTA,akg[c] + asp-L[c] <==> glu-L[c] + oaa[c],-1000.0,1000,-1000.0,1000,
ASPTRS,asp-L[c] + atp[c] + trnaasp[c] <==> amp[c] + ppi[c] + asptrna[c],0.0,1000,0.0,1000,
BAMPPALDOX,bamppald[c] + h2o[c] + nad[c] <==> ala-B[c] + (2) h[c] + nadh[c],0.0,1000,0.0,1000,
HSDy,hom-L[c] + nadp[c] <==> aspsa[c] + h[c] + nadph[c],-1000.0,1000,-1000.0,1000,
PC,atp[c] + hco3[c] + pyr[c] <==> adp[c] + h[c] + oaa[c] + pi[c],0.0,1000,0.0,1000,
2MBCOAS,2mbr[c] + atp[c] + coa[c] <==> 2mbcoa[c] + amp[c] + ppi[c],0.0,1000,0.0,1000,
ACGK,acglu[c] + atp[c] <==> acg5p[c] + adp[c],0.0,1000,0.0,1000,
ACGS,accoa[c] + glu-L[c] <==> acglu[c] + coa[c] + h[c],0.0,1000,0.0,1000,
ACOTA,acg5sa[c] + glu-L[c] <==> acorn[c] + akg[c],-1000.0,1000,-1000.0,1000,
AGPR,acg5p[c] + h[c] + nadph[c] <==> acg5sa[c] + nadp[c] + pi[c],0.0,1000,0.0,1000,
AMPTASECG,cgly[c] + h2o[c] <==> cys-L[c] + gly[c],0.0,1000,0.0,1000,
CHORM,chor[c] <==> pphn[c],0.0,1000,0.0,1000,
DIPS,amet[c] + caphis[c] <==> ahcys[c] + cmaphis[c] + h[c],0.0,1000,0.0,1000,
GLU5K,atp[c] + glu-L[c] <==> adp[c] + glu5p[c],0.0,1000,0.0,1000,
HSDx,hom-L[c] + nad[c] <==> aspsa[c] + h[c] + nadh[c],-1000.0,1000,-1000.0,1000,
METSOXR2,metsox-R-L[c] + trdrd[c] <==> trdox[c] + h2o[c] + met-L[c],0.0,1000,0.0,1000,
OPAH,5oxpro[c] + atp[c] + (2) h2o[c] <==> adp[c] + glu-L[c] + h[c] + pi[c],0.0,1000,0.0,1000,
ORNTAC,acorn[c] + glu-L[c] <==> acglu[c] + orn[c],-1000.0,1000,-1000.0,1000,
PPND,nad[c] + pphn[c] <==> 34hpp[c] + co2[c] + nadh[c],0.0,1000,0.0,1000,
AGMT,agm[c] + h2o[c] <==> ptrc[c] + urea[c],0.0,1000,0.0,1000,
ARGDr,arg-L[c] + h2o[c] <==> citr-L[c] + nh4[c],-1000.0,1000,-1000.0,1000,
ARGTRS,arg-L[c] + atp[c] + trnaarg[c] <==> amp[c] + ppi[c] + argtrna[c],0.0,1000,0.0,1000,
