Abbreviation,Name,Reaction,GPR,Subsystem,Reversible,Lower bound,Upper bound,Objective
ADSL1,adenylosuccinate lyase,dcamp[c] <==> amp[c] + fum[c],MA3971,Alanine and Aspartate Metabolism,0,0.0,1000,0
ADSS,adenylosuccinate synthase,asp-L[c] + gtp[c] + imp[c] <==> dcamp[c] + gdp[c] + (2) h[c] + pi[c],(MA1919 or MA4118),Alanine and Aspartate Metabolism,0,0.0,1000,0
ALATA_L,L-alanine transaminase,akg[c] + ala-L[c] <==> glu-L[c] + pyr[c],(MA0636 or MA0925 or MA1385 or MA1712 or MA1819),Alanine and Aspartate Metabolism,1,-1000.0,1000,0
ALATRS,Alanyl-tRNA synthetase,ala-L[c] + atp[c] + trnaala[c] <==> amp[c] + ppi[c] + alatrna[c],(MA0194 or MA2014),Alanine and Aspartate Metabolism,0,0.0,1000,0
APAT2,beta-alanine:2-oxoglutarate aminotransferase,akg[c] + ala-B[c] <==> glu-L[c] + msa[c],MA2859,Alanine and Aspartate Metabolism,0,0.0,1000,0
ARGSL,argininosuccinate lyase,argsuc[c] <==> arg-L[c] + fum[c],MA1318,Alanine and Aspartate Metabolism,1,-1000.0,1000,0
ARGSS,argininosuccinate synthase,asp-L[c] + atp[c] + citr-L[c] <==> amp[c] + argsuc[c] + h[c] + ppi[c],MA2142,Alanine and Aspartate Metabolism,0,0.0,1000,0
ASADi,"aspartate-semialdehyde dehydrogenase, irreversible",4pasp[c] + h[c] + nadph[c] <==> aspsa[c] + nadp[c] + pi[c],MA0430,Alanine and Aspartate Metabolism,0,0.0,1000,0
ASNN,L-asparaginase,asn-L[c] + h2o[c] <==> asp-L[c] + nh4[c],MA1317,Alanine and Aspartate Metabolism,0,0.0,1000,0
ASNS1,asparagine synthase (glutamine-hydrolysing),asp-L[c] + atp[c] + gln-L[c] + h2o[c] <==> amp[c] + asn-L[c] + glu-L[c] + h[c] + ppi[c],(MA0051 or MA1966),Alanine and Aspartate Metabolism,0,0.0,1000,0
ASP1DC,aspartate 1-decarboxylase,asp-L[c] + h[c] <==> ala-B[c] + co2[c],(MA0006 or MA1949),Alanine and Aspartate Metabolism,0,0.0,1000,0
ASPCT,aspartate carbamoyltransferase,asp-L[c] + cbp[c] <==> cbasp[c] + h[c] + pi[c],(MA4501 and MA4502),Alanine and Aspartate Metabolism,0,0.0,1000,0
ASPKi,"aspartate kinase, irreversible",asp-L[c] + atp[c] <==> 4pasp[c] + adp[c],MA0131,Alanine and Aspartate Metabolism,0,0.0,1000,0
ASPTA,aspartate transaminase,akg[c] + asp-L[c] <==> glu-L[c] + oaa[c],(MA0636 or MA1385 or MA1819),Alanine and Aspartate Metabolism,1,-1000.0,1000,0
ASPTRS,Aspartyl-tRNA synthetase,asp-L[c] + atp[c] + trnaasp[c] <==> amp[c] + ppi[c] + asptrna[c],MA1684,Alanine and Aspartate Metabolism,0,0.0,1000,0
BAMPPALDOX,beta-Aminopropion aldehyde:NAD+ oxidoreductase,bamppald[c] + h2o[c] + nad[c] <==> ala-B[c] + (2) h[c] + nadh[c],MA2860,Alanine and Aspartate Metabolism,0,0.0,1000,0
HSDy,homoserine dehydrogenase (NADPH),hom-L[c] + nadp[c] <==> aspsa[c] + h[c] + nadph[c],MA2572,Alanine and Aspartate Metabolism,1,-1000.0,1000,0
PC,pyruvate carboxylase,atp[c] + hco3[c] + pyr[c] <==> adp[c] + h[c] + oaa[c] + pi[c],(MA0674 and MA0675),Alanine and Aspartate Metabolism,0,0.0,1000,0
2MBCOAS,2-methylbutyrate CoA synthesis,2mbr[c] + atp[c] + coa[c] <==> 2mbcoa[c] + amp[c] + ppi[c],MA2912,Amino Acid Metabolism,0,0.0,1000,0
ACGK,acetylglutamate kinase,acglu[c] + atp[c] <==> acg5p[c] + adp[c],MA4515,Amino Acid Metabolism,0,0.0,1000,0
ACGS,N-acetylglutamate synthase,accoa[c] + glu-L[c] <==> acglu[c] + coa[c] + h[c],((MA4339 or MA0239) or MA3564),Amino Acid Metabolism,0,0.0,1000,0
ACOTA,acetylornithine transaminase,acg5sa[c] + glu-L[c] <==> acorn[c] + akg[c],(MA0119 or MA0581 or MA2859),Amino Acid Metabolism,1,-1000.0,1000,0
AGPR,N-acetyl-g-glutamyl-phosphate reductase,acg5p[c] + h[c] + nadph[c] <==> acg5sa[c] + nadp[c] + pi[c],MA3566,Amino Acid Metabolism,0,0.0,1000,0
AMPTASECG,alanyl aminopeptidase (cys-gly),cgly[c] + h2o[c] <==> cys-L[c] + gly[c],(MA1605 or MA2653),Amino Acid Metabolism,0,0.0,1000,0
CHORM,chorismate mutase,chor[c] <==> pphn[c],(MA3150 or MA1377),Amino Acid Metabolism,0,0.0,1000,0
DIPS,diphthine synthase,amet[c] + caphis[c] <==> ahcys[c] + cmaphis[c] + h[c],MA1370,Amino Acid Metabolism,0,0.0,1000,0
GLU5K,glutamate 5-kinase,atp[c] + glu-L[c] <==> adp[c] + glu5p[c],MA4101,Amino Acid Metabolism,0,0.0,1000,0
HSDx,homoserine dehydrogenase (NADH),hom-L[c] + nad[c] <==> aspsa[c] + h[c] + nadh[c],MA2572,Amino Acid Metabolism,1,-1000.0,1000,0
METSOXR2,methionine oxidation 3 (thioredoxin),metsox-R-L[c] + trdrd[c] <==> trdox[c] + h2o[c] + met-L[c],MA1431,Amino Acid Metabolism,0,0.0,1000,0
OPAH,5-Oxoproline amidohydrolase (ATP-hydrolysing),5oxpro[c] + atp[c] + (2) h2o[c] <==> adp[c] + glu-L[c] + h[c] + pi[c],MA2300,Amino Acid Metabolism,0,0.0,1000,0
ORNTAC,ornithine transacetylase,acorn[c] + glu-L[c] <==> acglu[c] + orn[c],MA3564,Amino Acid Metabolism,1,-1000.0,1000,0
PPND,prephenate dehydrogenase,nad[c] + pphn[c] <==> 34hpp[c] + co2[c] + nadh[c],MA4595,Amino Acid Metabolism,0,0.0,1000,0
AGMT,agmatinase,agm[c] + h2o[c] <==> ptrc[c] + urea[c],MA3986,Arginine and Proline Metabolism,0,0.0,1000,0
ARGDr,arginine deiminase,arg-L[c] + h2o[c] <==> citr-L[c] + nh4[c],MA0792,Arginine and Proline Metabolism,1,-1000.0,1000,0
ARGTRS,Arginyl-tRNA synthetase,arg-L[c] + atp[c] + trnaarg[c] <==> amp[c] + ppi[c] + argtrna[c],MA0043,Arginine and Proline Metabolism,0,0.0,1000,0
OCBT,ornithine carbamoyltransferase,cbp[c] + orn[c] <==> citr-L[c] + h[c] + pi[c],MA3310,Arginine and Proline Metabolism,0,0.0,1000,0
ORNCD,ornithine cyclodeaminase,orn[c] <==> nh4[c] + pro-L[c],MA3252,Arginine and Proline Metabolism,0,0.0,1000,0
ORNDC,Ornithine Decarboxylase,h[c] + orn[c] <==> co2[c] + ptrc[c],MA2728,Arginine and Proline Metabolism,0,0.0,1000,0
P5CRx,pyrroline-5-carboxylate reductase,nad[c] + pro-L[c] <==> 1pyr5c[c] + (2) h[c] + nadh[c],(MA0152 or MA4102),Arginine and Proline Metabolism,1,-1000.0,1000,0
P5CRy,L-Proline:NADP+ 5-oxidoreductase,nadp[c] + pro-L[c] <==> 1pyr5c[c] + (2) h[c] + nadph[c],(MA0152 or MA4102),Arginine and Proline Metabolism,1,-1000.0,1000,0
PROTRS,Prolyl-tRNA synthetase,atp[c] + pro-L[c] + trnapro[c] <==> amp[c] + ppi[c] + protrna[c],MA3886,Arginine and Proline Metabolism,0,0.0,1000,0
R01986,4-Aminobutyraldehyde:NADP+ oxidoreductase,4abutn[c] + h2o[c] + nadp[c] <==> 4abut[c] + (2) h[c] + nadph[c],MA2860,Arginine and Proline Metabolism,0,0.0,1000,0
R02549,4-Aminobutyraldehyde:NAD+ oxidoreductase,4abutn[c] + h2o[c] + nad[c] <==> 4abut[c] + (2) h[c] + nadh[c],MA2860,Arginine and Proline Metabolism,0,0.0,1000,0
G5SADr,"L-glutamate 5-semialdehyde dehydratase, reversible",glu5sa[c] <==> 1pyr5c[c] + h[c] + h2o[c],Unassigned,Proline Biosynthesis,0,0.0,1000,0
