Loci,Annotation,EC #,Protein abbreviation
MA0006,L-tyrosine decarboxylase,4.1.1.25,Unassigned
MA0010,formylmethanofuran-- tetrahydromethanopterin formyltransferase (ftr) (EC 2.3.1.101),2.3.1.101,ftr
MA0021,,,
MA0023,zinc ABC transporter substrate-binding protein,Unassigned,znuA
MA0024,zinc ABC transporter ATP-binding protein,3.6.3.-,znuC
MA0025,zinc ABC transporter permease,Unassigned,znuB
MA0031,Pyruvate synthase beta subunit (pyruvate:ferredoxin oxidoreductase subunitsbeta) (EC 1.2.7.1),1.2.7.1,porB
MA0032,Pyruvate synthase subunit porA (Pyruvate oxidoreductase alpha chain) (EC 1.2.7.1) (porA) | pyruvate synthase subunit alpha,1.2.7.1,porA
MA0033,Pyruvate synthase delta subunit (pyruvate:ferredoxin oxidoreductase subunitsdelta) (EC 1.2.7.1),1.2.7.1,porD
MA0034,Pyruvate synthase gamma subunit (pyruvate:ferredoxin oxidoreductase subunitsgamma) (EC 1.2.7.1),1.2.7.1,porG
MA0043,arginyl-tRNA synthetase,6.1.1.19,argS
MA0051,hypothetical protein,6.3.5.4,asnB
MA0053,5-methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase,2.1.1.14,metE
MA0054,5-methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase,2.1.1.14,metE
MA0063,ABC transporter ATPase subunit (ssuB),,
MA0069,hydrogenase expression/formation protein,2.7.4.16,hypE
MA0072,anaerobic ribonucleoside-triphosphate reductase,1.17.4.2,nrdD
MA0075,myo-inositol-1-phosphate synthase,5.5.1.4,Unassigned
MA0076,"Ribose-1,5-bisphosphate isomerase | translation initiation factor IF-2",5.3.1.23,eif2B1
MA0081,polyphosphate kinase,2.7.4.1,ppk
MA0083,exopolyphosphatase,3.6.1.11 | 3.6.1.40,ppx
MA0090,O-phosphoseryl-tRNA(Cys) synthetase (EC 6.1.1.-),6.1.1.27,pheRS
MA0097,Glycyl-tRNA synthetase (EC6.1.1.14),6.1.1.14,glyS
MA0104,Stationary-phase survival protein SurE (5'/3'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.6); Exopolyphosphatase (EC 3.6.1.11)) (surE),3.1.3.5,surE
MA0106,"cobyrinic acid a,c-diamide synthase",6.3.5.9 | 6.3.5.11,cbiA1
MA0113,ADP-ribose pyrophosphatase (Nudix hydrolase),,
MA0115,phosphatidylserine decarboxylase,4.1.1.65,psd
MA0116,CDP-diacylglycerol--serine O-phosphatidyltransferase,2.7.8.8,pss
MA0118,histidinol-phosphate aminotransferase,2.6.1.9,hisC
MA0119,Acetylornithine/acetyl-lysine aminotransferase (EC 2.6.1.11) (EC 2.6.1.-),2.6.1.11 | 2.6.1.17,argD
MA0130,Phosphoribosylformylglycinamidine cyclo-ligase (AIRS) (purM) (EC 6.3.3.1),6.3.3.1,purM
MA0131,aspartate kinase,2.7.2.4,lysC
MA0132,cofactor-independent phosphoglycerate mutase,5.4.2.12,apgM
MA0135,F420-0--gamma-glutamyl ligase,6.3.2.31 | 6.3.2.34,cofE
MA0136,dCMP deaminase (EC 3.5.4.12),3.5.4.12,comEB
MA0137,dCMP deaminase (EC 3.5.4.12),3.5.4.12,comEB
MA0143,amine permease,,
MA0144,monomethylamine methyltransferase,2.1.1.248,mtmB1
MA0145,monomethylamine corrinoid protein (mtmC1),Unassigned,mtmC1
MA0146,methylcobalamin:coenzyme M methyltransferase,Unassigned,mtbA
MA0150,methylamine methyltransferase corrinoid activation protein,,
MA0152,pyrrolysine synthesis protein,Unassigned,pylD
MA0153,pyrrolysine synthesis protein,Unassigned,pylC
MA0154,pyrrolysine synthesis protein | biotin synthase,5.4.99.58,bioB
MA0155,Pyrrolysyl-tRNA synthetase (pylS) (EC 6.1.1.-),6.1.1.26,pylS
MA0166,,,
